,external_urls,followers,genres,href,id,images,name,popularity,type,uri
78,{'spotify': 'https://open.spotify.com/artist/6yrtCy4XJHXM6tczo4RlTs'},"{'href': None, 'total': 271488}",['australian surf rock'],https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,6yrtCy4XJHXM6tczo4RlTs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebffee61e3269bae17c99f8fe0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ffee61e3269bae17c99f8fe0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ffee61e3269bae17c99f8fe0', 'width': 160}]",Lime Cordiale,58,artist,spotify:artist:6yrtCy4XJHXM6tczo4RlTs
79,{'spotify': 'https://open.spotify.com/artist/500YRyClzP6Z7HtWd1BIje'},"{'href': None, 'total': 50159}",['australian indie'],https://api.spotify.com/v1/artists/500YRyClzP6Z7HtWd1BIje,500YRyClzP6Z7HtWd1BIje,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb429333bf6eb0e4048b1cfdf2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174429333bf6eb0e4048b1cfdf2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178429333bf6eb0e4048b1cfdf2', 'width': 160}]",Northeast Party House,42,artist,spotify:artist:500YRyClzP6Z7HtWd1BIje
80,{'spotify': 'https://open.spotify.com/artist/5Pb27ujIyYb33zBqVysBkj'},"{'href': None, 'total': 1367362}","['australian electropop', 'indietronica']",https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj,5Pb27ujIyYb33zBqVysBkj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba5d83556275bb22511f57624', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a5d83556275bb22511f57624', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a5d83556275bb22511f57624', 'width': 160}]",RÜFÜS DU SOL,69,artist,spotify:artist:5Pb27ujIyYb33zBqVysBkj
81,{'spotify': 'https://open.spotify.com/artist/5TjlxSJvfrD5I2PWaEh4jZ'},"{'href': None, 'total': 58506}",['australian indie'],https://api.spotify.com/v1/artists/5TjlxSJvfrD5I2PWaEh4jZ,5TjlxSJvfrD5I2PWaEh4jZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc317a76e3449bf8b42483575', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c317a76e3449bf8b42483575', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c317a76e3449bf8b42483575', 'width': 160}]",Client Liaison,38,artist,spotify:artist:5TjlxSJvfrD5I2PWaEh4jZ
82,{'spotify': 'https://open.spotify.com/artist/2SrWifjYv7b5tR8EzEmn1x'},"{'href': None, 'total': 116348}",['industrial pop'],https://api.spotify.com/v1/artists/2SrWifjYv7b5tR8EzEmn1x,2SrWifjYv7b5tR8EzEmn1x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebffa95bb2d725bc1e50b7ecb8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ffa95bb2d725bc1e50b7ecb8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ffa95bb2d725bc1e50b7ecb8', 'width': 160}]",Golden Features,55,artist,spotify:artist:2SrWifjYv7b5tR8EzEmn1x
83,{'spotify': 'https://open.spotify.com/artist/1iUTUix5kea176M0uJTsh4'},"{'href': None, 'total': 234405}","['australian indie', 'australian surf rock']",https://api.spotify.com/v1/artists/1iUTUix5kea176M0uJTsh4,1iUTUix5kea176M0uJTsh4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0312c993c4afdf1503ca842c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740312c993c4afdf1503ca842c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780312c993c4afdf1503ca842c', 'width': 160}]",DMA'S,52,artist,spotify:artist:1iUTUix5kea176M0uJTsh4
84,{'spotify': 'https://open.spotify.com/artist/5Pb27ujIyYb33zBqVysBkj'},"{'href': None, 'total': 1367362}","['australian electropop', 'indietronica']",https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj,5Pb27ujIyYb33zBqVysBkj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba5d83556275bb22511f57624', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a5d83556275bb22511f57624', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a5d83556275bb22511f57624', 'width': 160}]",RÜFÜS DU SOL,69,artist,spotify:artist:5Pb27ujIyYb33zBqVysBkj
85,{'spotify': 'https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb'},"{'href': None, 'total': 6669182}","['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,5INjqkS1o8h1imAzPqGZBb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb90357ef28b3a012a1d1b2fa2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517490357ef28b3a012a1d1b2fa2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17890357ef28b3a012a1d1b2fa2', 'width': 160}]",Tame Impala,78,artist,spotify:artist:5INjqkS1o8h1imAzPqGZBb
86,{'spotify': 'https://open.spotify.com/artist/5Pb27ujIyYb33zBqVysBkj'},"{'href': None, 'total': 1367362}","['australian electropop', 'indietronica']",https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj,5Pb27ujIyYb33zBqVysBkj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba5d83556275bb22511f57624', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a5d83556275bb22511f57624', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a5d83556275bb22511f57624', 'width': 160}]",RÜFÜS DU SOL,69,artist,spotify:artist:5Pb27ujIyYb33zBqVysBkj
87,{'spotify': 'https://open.spotify.com/artist/0aA1GTrIMutjIh4GlPPUVN'},"{'href': None, 'total': 152653}",['vapor soul'],https://api.spotify.com/v1/artists/0aA1GTrIMutjIh4GlPPUVN,0aA1GTrIMutjIh4GlPPUVN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebfe59f29735cfca0256767031', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174fe59f29735cfca0256767031', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178fe59f29735cfca0256767031', 'width': 160}]",Crooked Colours,51,artist,spotify:artist:0aA1GTrIMutjIh4GlPPUVN
88,{'spotify': 'https://open.spotify.com/artist/0Ou0138wEd8XWebhc4j7O0'},"{'href': None, 'total': 247291}","['australian indie', 'fremantle indie', 'metropopolis', 'perth indie']",https://api.spotify.com/v1/artists/0Ou0138wEd8XWebhc4j7O0,0Ou0138wEd8XWebhc4j7O0,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcf8f7daa7805b88f824844d0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cf8f7daa7805b88f824844d0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cf8f7daa7805b88f824844d0', 'width': 160}]",San Cisco,48,artist,spotify:artist:0Ou0138wEd8XWebhc4j7O0
89,{'spotify': 'https://open.spotify.com/artist/6yrtCy4XJHXM6tczo4RlTs'},"{'href': None, 'total': 271488}",['australian surf rock'],https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,6yrtCy4XJHXM6tczo4RlTs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebffee61e3269bae17c99f8fe0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ffee61e3269bae17c99f8fe0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ffee61e3269bae17c99f8fe0', 'width': 160}]",Lime Cordiale,58,artist,spotify:artist:6yrtCy4XJHXM6tczo4RlTs
