,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
46,0.838,0.739,5,-8.089,1,0.046,0.0621,0.0297,0.0709,0.826,121.499,2QuT7H5ldUSXaH2vLDoFF9
47,0.427,0.749,11,-5.092,0,0.0467,0.433,0.0534,0.0903,0.378,139.031,5RHY7WkAjAhpxuPN0CTd4F
48,0.687,0.796,3,-7.699,0,0.133,0.747,0.00159,0.283,0.737,136.012,12tS8W4qtDOiH3XSlhjE6f
49,0.681,0.721,3,-8.321,0,0.0367,0.0061,0.018,0.115,0.857,129.985,6TAxNHUFD5nbP9pMXlONES
50,0.821,0.615,0,-5.922,1,0.0524,0.000631,0.772,0.151,0.732,124.002,0jlO3IWUXvPDmxVUkNZvU6
51,0.528,0.521,6,-7.48,1,0.088,0.473,4.66e-05,0.107,0.522,67.666,3bAekCbm7788s6Agmx7oKi
52,0.836,0.668,0,-4.063,1,0.0338,0.00964,0.00617,0.101,0.768,115.0,3bN2xsoz1R9c82XTFYTiMA
53,0.799,0.441,7,-7.613,1,0.0566,0.0554,0.0172,0.273,0.608,108.018,5a1P1cg7sguMXIfir9UMEu
54,0.588,0.968,6,-3.029,1,0.0432,0.00086,7.94e-06,0.246,0.69,122.999,1MGjd4nuHMHHVk1yATbZqT
55,0.728,0.82,8,-6.047,0,0.0489,0.0329,0.00416,0.307,0.529,104.995,5reUpAmA1f62EVf5jRHbwP
56,0.756,0.657,11,-7.596,0,0.0357,0.000923,0.000261,0.13,0.85,124.984,0a0yCnEdCBQzD3Ll1XhU80
57,0.695,0.691,5,-4.73,0,0.0351,0.147,2.21e-06,0.152,0.563,104.015,4ymwtZYIO8jeOeKmUzLH8O
58,0.713,0.703,11,-9.452,0,0.0501,0.493,0.555,0.134,0.203,120.01,2xbh5NWAm6zjfeZg3yrwbO
59,0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,3eoNUm0LU9hATVVi9w4fM6
60,0.733,0.583,9,-7.437,0,0.0347,0.00133,0.00441,0.0814,0.62,123.006,1QwhWld3yDy65MJCeBelCp
61,0.707,0.869,10,-6.918,0,0.0408,0.000166,0.552,0.112,0.118,127.014,06Rrhcwq9qBN5RJKpdM0kY
62,0.714,0.808,5,-7.002,0,0.0398,0.0201,0.00543,0.077,0.473,119.161,29rCL9v87ccu8LWmFBUPMi
63,0.436,0.896,0,-4.736,1,0.0384,5.54e-05,0.00995,0.165,0.933,174.962,50ODnqSpPJxnF7ECTdZJRy
64,0.609,0.829,9,-4.28,0,0.033,0.00524,2.21e-05,0.132,0.586,116.017,6DKLYVa951309xN1LBBkpu
65,0.671,0.622,0,-9.551,1,0.0289,0.0501,2.95e-05,0.326,0.909,125.999,5ppBE5KFTiTx7JoHQAzr5O
66,0.746,0.856,9,-6.634,0,0.0391,0.0202,0.0884,0.141,0.237,122.015,7yhTeDtf0cYKac3rIO9bgG
67,0.573,0.876,1,-5.699,0,0.102,0.0362,0.0,0.095,0.895,161.888,5QkwbUdIcUIu3eyCkDxUv6
68,0.753,0.697,4,-6.26,0,0.0334,0.139,0.00707,0.0955,0.408,115.01,0ukqcQFfM9Bb7NnvCNZ8h5
69,0.611,0.78,4,-3.672,0,0.0439,0.0913,0.0,0.209,0.315,125.01,0zM6ULyWn3u7ur5t7GkDZT
70,0.721,0.669,1,-6.052,1,0.0456,0.00124,0.141,0.496,0.437,114.001,0GvgLVMNCgGXe0Ra9b0K1D
71,0.662,0.676,3,-5.514,0,0.0291,0.0588,7.62e-05,0.216,0.419,106.032,1ij8FR87kzWHdSgjhNDiSd
72,0.326,0.599,4,-5.595,1,0.0338,0.0512,6.62e-06,0.145,0.0387,149.919,35esL6crd33KHmrpVFHFj4
73,0.567,0.692,4,-5.467,1,0.0563,0.0216,2.75e-06,0.11,0.156,122.0,60UQUTjx171U16a2tijPZB
74,0.7,0.473,4,-7.33,0,0.0348,0.0202,0.166,0.143,0.308,122.996,7hY5buVsRhay7hB83BqM8M
75,0.623,0.89,8,-3.703,0,0.0372,0.344,0.0,0.22,0.71,89.988,6O1jOgSwNKJTnGUwFMfTcC
76,0.585,0.956,0,-3.577,1,0.0564,0.0285,0.0,0.213,0.593,120.004,0Quhzm1B1Z9I5S9RP6BgLh
77,0.64,0.863,0,-4.547,1,0.031,0.0333,0.00148,0.146,0.653,131.073,4ztnd2IahPRr3wk9FPwiGV
78,0.657,0.559,5,-8.176,1,0.0452,0.0185,0.002,0.147,0.562,151.871,7dp10RH9vHZw35hbXmJOps
79,0.705,0.715,8,-7.831,1,0.0365,0.0453,0.515,0.0688,0.396,126.027,6HJA2j5VpVg3pwCKrbep03
80,0.72,0.781,0,-7.379,1,0.0479,0.166,0.0377,0.0966,0.488,124.036,21EmgHgjTjFeSyDjCnPZcp
81,0.754,0.873,4,-4.139,0,0.0479,0.00374,0.19,0.0897,0.913,125.999,4Fhr4xXkEzYF4bA9g679E4
82,0.678,0.492,4,-8.614,0,0.052,0.335,0.000541,0.538,0.351,117.977,2zDdinauXLATZMeyk4WnTR
83,0.505,0.931,9,-5.652,1,0.0563,0.0005,0.0086,0.329,0.399,130.031,2OUHleXIPcB5WkQvFcpzsa
84,0.663,0.619,9,-7.48,0,0.0327,0.111,0.232,0.0883,0.318,119.972,73tvKxFOfdYmRvswnDeWjT
85,0.731,0.664,0,-5.474,1,0.0302,0.00309,0.35,0.133,0.661,118.019,6dwMb0TRWRmHQje1H5iSzY
86,0.686,0.712,5,-7.58,0,0.0383,0.049,0.0042,0.368,0.247,121.966,0PHWXLXOQXGlyUGq7woVFZ
87,0.795,0.574,5,-8.202,0,0.0474,0.0313,0.00789,0.0998,0.318,118.989,43Q412QJxCshzh9oIjLgEF
88,0.666,0.827,6,-6.618,0,0.0301,0.0598,0.0,0.27,0.899,122.979,579j0QRchEajNo11kaaAUx
89,0.781,0.56,2,-8.742,1,0.039,0.0011,0.0644,0.192,0.964,138.024,3tpFmrGk0cmUy4ldBr3fK5
90,0.759,0.634,8,-8.959,1,0.0383,0.033,0.289,0.106,0.145,120.019,6bdfM4I40ywx2gOtZjQ7Z6
91,0.74,0.817,8,-3.296,1,0.0692,0.00466,0.000413,0.241,0.598,119.985,7B5VSphXg2EekKkiGHXs7P
92,0.666,0.94,4,-4.871,0,0.0965,0.0767,5.88e-06,0.351,0.866,109.98,136dz3do7g7F61AoQRoxNc
93,0.89,0.505,11,-3.106,0,0.0481,0.00373,0.438,0.0474,0.94,119.011,4JtbUXLuBb8C7q1x7B54ZY
94,0.649,0.736,11,-8.252,0,0.0433,0.0314,0.0322,0.128,0.923,169.98,7cqXIXlGDslSr5AFjdzaaW
95,0.83,0.9,6,-2.307,0,0.0948,0.0103,6.1e-06,0.332,0.758,116.974,6vyYiUliVaGVnv5nDnM93F
96,0.711,0.831,11,-6.004,1,0.0396,0.0282,0.16,0.0922,0.545,120.003,3hdJpYy4oLf2wI920Dsq4D
97,0.682,0.815,2,-5.747,1,0.0656,0.107,0.000659,0.114,0.867,113.04,0u8AnQEMd9W6fDG2UbFjyz
98,0.596,0.895,6,-3.813,1,0.0518,0.55,0.0,0.15,0.578,105.048,63mQ5xtQEr5fM6nF2E3aE1
99,0.664,0.759,9,-4.926,0,0.0428,0.0169,0.0025,0.179,0.771,160.023,5Dv6S0ds5gRUlmUV0kONEL
